Manufactor,Year,Model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
אאודי,2013, A5,3,אוטומטית,1800,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,68000.0,5,2024-03-17,2024-03-31,"‎!!קילומטר נמוך !! רכב במצב תצוגה טיפול גדול חדש מנוע המוצלח עם 170 כח סוס רכב חזק גג נפתח גנט מקורי 18 מתחייב בבדיקה גיר מנוע ושילדה 
‎( גמיש במחיר לרציניים) אפשרות החלפה על גיפון",שחור,119000,
אאודי,2016, A1,2,אוטומטית,1000,בנזין,ליסינג,פרטית,nan,בית ג'ן,55000.0,3,2023-11-25,2023-11-24,"רכב שמור מטופל בזמן יש עליו כל מיני תוספות מי שיקנה יהנה ממנו
מעוניין במכירה בגלל שידרוג לרכב משפחתי",שחור,135000,
אאודי,2021, A1,1,אוטומטית,1000,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,122000.0,9,2023-11-11,2023-11-11,"רכב אאודי A1 דגם סטייל קומפורט 
אחרי טיפול של 55 אלף קילומטר",שחור,,
אאודי,2019, RS5,4,אוטומטית,4500,גז,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,65000.0,4,2023-10-02,2023-10-02,"אאודי RS5 ספורטבק 2019 כמעט חדשה בדייטונה גריי פנינה מדהימה עם עור פחם/פנים תפור קרשנדו אדום. כל אפשרויות המפעל הטובות והנחשקות ביותר! מכונית זו טופלה ומתוחזקת בקפידה מאז החדשה. הוא היה מכוסה בציפוי קרמי. מחצלות רצפה מבד מפעל שימשו רק 50-60 מיילים עד OEM RS כל מחצלות מזג האוויר הותקנו. מכונית זו נרכשה עם תוכנית התחזוקה של אאודי קר וכל תחזוקת המפעל בוצעה בסוכנות אאודי המקומית. מכונית זו עדיין מכוסה תחת טיפול אאודי ואחריות מפעל הינע. המכונית הזו באמת במצב חדש. כל התחזוקה בוצעה במסגרת תוכנית הטיפול של אאודי אשר תעבור עם המכונית בעת מכירתה. בטווח של 300 מייל מרגע הרכישה החדשה, הותקנו גלגלי Vossen עם צמיגי 285/30/ZR20 Michelin Pilot Sport 4S. הגלגלים והצמיגים בסגנון ""דגל"" של מפעל ""20"" יגיעו עם המכונית. על הצמיגים עדיין יש את כל הידיות והם אוחסנו בשקיות צמיגים במוסך מבוקר אקלים. ללא נזק, תאונות, עבודות צבע או סיפורים כלשהם. תגלו שמושבי העור, ההגה, האלקנטרה והשטיחים מראים כמעט אפס בלאי. המכונית עדיין מריחה כמו מכונית חדשה לגמרי עם 7,000 קילומטרים בלבד. הוא מעולם לא ישב בחוץ במשך הלילה ומעולם לא היה בגשם או במזג אוויר גרוע אחר. למכונית זו יש את כל האפשרויות הנחשקות ביותר כולל פחמן מלא מבפנים ומבחוץ. חבילה דינמית, אופטיקה שחורה, עור נאפה משובח ומערכת סאונד B&O. הוא פועל ונוהג ללא רבב ולבעלים החדש לא יהיו אכזבות כלשהן. אנא שלחו לי וואטסאפ למספר 55-330-2112.",אפור,7000,
אאודי,2019, RS5,4,אוטומטית,4500,גז,פרטית,פרטית,חולון - בת ים,חולון,65000.0,4,2023-10-02,2023-10-02,"נתניהאאודי RS5 ספורטבק 2019 כמעט חדשה בדייטונה גריי פנינה מדהימה עם עור פחם/פנים תפור קרשנדו אדום. כל אפשרויות המפעל הטובות והנחשקות ביותר! מכונית זו טופלה ומתוחזקת בקפידה מאז החדשה. הוא היה מכוסה בציפוי קרמי. מחצלות רצפה מבד מפעל שימשו רק 50-60 מיילים עד OEM RS כל מחצלות מזג האוויר הותקנו. מכונית זו נרכשה עם תוכנית התחזוקה של אאודי קר וכל תחזוקת המפעל בוצעה בסוכנות אאודי המקומית. מכונית זו עדיין מכוסה תחת טיפול אאודי ואחריות מפעל הינע. המכונית הזו באמת במצב חדש. כל התחזוקה בוצעה במסגרת תוכנית הטיפול של אאודי אשר תעבור עם המכונית בעת מכירתה. בטווח של 300 מייל מרגע הרכישה החדשה, הותקנו גלגלי Vossen עם צמיגי 285/30/ZR20 Michelin Pilot Sport 4S. הגלגלים והצמיגים בסגנון ""דגל"" של מפעל ""20"" יגיעו עם המכונית. על הצמיגים עדיין יש את כל הידיות והם אוחסנו בשקיות צמיגים במוסך מבוקר אקלים. ללא נזק, תאונות, עבודות צבע או סיפורים כלשהם. תגלו שמושבי העור, ההגה, האלקנטרה והשטיחים מראים כמעט אפס בלאי. המכונית עדיין מריחה כמו מכונית חדשה לגמרי עם 7,000 קילומטרים בלבד. הוא מעולם לא ישב בחוץ במשך הלילה ומעולם לא היה בגשם או במזג אוויר גרוע אחר. למכונית זו יש את כל האפשרויות הנחשקות ביותר כולל פחמן מלא מבפנים ומבחוץ. חבילה דינמית, אופטיקה שחורה, עור נאפה משובח ומערכת סאונד B&O. הוא פועל ונוהג ללא רבב ולבעלים החדש לא יהיו אכזבות כלשהן. אנא שלחו לי וואטסאפ למספר 55-330-2112.",אפור,7000,
אאודי,2019, RS5,4,אוטומטית,4500,גז,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,65000.0,3,2023-10-02,2023-10-02,"אאודי RS5 ספורטבק 2019 כמעט חדשה בדייטונה גריי פנינה מדהימה עם עור פחם/פנים תפור קרשנדו אדום. כל אפשרויות המפעל הטובות והנחשקות ביותר! מכונית זו טופלה ומתוחזקת בקפידה מאז החדשה. הוא היה מכוסה בציפוי קרמי. מחצלות רצפה מבד מפעל שימשו רק 50-60 מיילים עד OEM RS כל מחצלות מזג האוויר הותקנו. מכונית זו נרכשה עם תוכנית התחזוקה של אאודי קר וכל תחזוקת המפעל בוצעה בסוכנות אאודי המקומית. מכונית זו עדיין מכוסה תחת טיפול אאודי ואחריות מפעל הינע. המכונית הזו באמת במצב חדש. כל התחזוקה בוצעה במסגרת תוכנית הטיפול של אאודי אשר תעבור עם המכונית בעת מכירתה. בטווח של 300 מייל מרגע הרכישה החדשה, הותקנו גלגלי Vossen עם צמיגי 285/30/ZR20 Michelin Pilot Sport 4S. הגלגלים והצמיגים בסגנון ""דגל"" של מפעל ""20"" יגיעו עם המכונית. על הצמיגים עדיין יש את כל הידיות והם אוחסנו בשקיות צמיגים במוסך מבוקר אקלים. ללא נזק, תאונות, עבודות צבע או סיפורים כלשהם. תגלו שמושבי העור, ההגה, האלקנטרה והשטיחים מראים כמעט אפס בלאי. המכונית עדיין מריחה כמו מכונית חדשה לגמרי עם 7,000 קילומטרים בלבד. הוא מעולם לא ישב בחוץ במשך הלילה ומעולם לא היה בגשם או במזג אוויר גרוע אחר. למכונית זו יש את כל האפשרויות הנחשקות ביותר כולל פחמן מלא מבפנים ומבחוץ. חבילה דינמית, אופטיקה שחורה, עור נאפה משובח ומערכת סאונד B&O. הוא פועל ונוהג ללא רבב ולבעלים החדש לא יהיו אכזבות כלשהן. אנא שלחו לי וואטסאפ בטלפון 55-330-2112.",אפור,7000,
אאודי,2019, RS5,4,אוטומטית,4500,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,65000.0,4,2023-10-02,2023-10-02,"אאודי RS5 ספורטבק 2019 כמעט חדשה בדייטונה גריי פנינה מדהימה עם עור פחם/פנים תפור קרשנדו אדום. כל אפשרויות המפעל הטובות והנחשקות ביותר! מכונית זו טופלה ומתוחזקת בקפידה מאז החדשה. הוא היה מכוסה בציפוי קרמי. מחצלות רצפה מבד מפעל שימשו רק 50-60 מיילים עד OEM RS כל מחצלות מזג האוויר הותקנו. מכונית זו נרכשה עם תוכנית התחזוקה של אאודי קר וכל תחזוקת המפעל בוצעה בסוכנות אאודי המקומית. מכונית זו עדיין מכוסה תחת טיפול אאודי ואחריות מפעל הינע. המכונית הזו באמת במצב חדש. כל התחזוקה בוצעה במסגרת תוכנית הטיפול של אאודי אשר תעבור עם המכונית בעת מכירתה. בטווח של 300 מייל מרגע הרכישה החדשה, הותקנו גלגלי Vossen עם צמיגי 285/30/ZR20 Michelin Pilot Sport 4S. הגלגלים והצמיגים בסגנון ""דגל"" של מפעל ""20"" יגיעו עם המכונית. על הצמיגים עדיין יש את כל הידיות והם אוחסנו בשקיות צמיגים במוסך מבוקר אקלים. ללא נזק, תאונות, עבודות צבע או סיפורים כלשהם. תגלו שמושבי העור, ההגה, האלקנטרה והשטיחים מראים כמעט אפס בלאי. המכונית עדיין מריחה כמו מכונית חדשה לגמרי עם 7,000 קילומטרים בלבד. הוא מעולם לא ישב בחוץ במשך הלילה ומעולם לא היה בגשם או במזג אוויר גרוע אחר. למכונית זו יש את כל האפשרויות הנחשקות ביותר כולל פחמן מלא מבפנים ומבחוץ. חבילה דינמית, אופטיקה שחורה, עור נאפה משובח ומערכת סאונד B&O. הוא פועל ונוהג ללא רבב ולבעלים החדש לא יהיו אכזבות כלשהן. אנא שלחו לי וואטסאפ למספר 55-330-2112.",אפור,7000,
אאודי,2019, RS5,4,אוטומטית,4500,גז,פרטית,פרטית,תל אביב,תל אביב יפו,65000.0,3,2023-10-02,2023-10-02,"אאודי RS5 ספורטבק 2019 כמעט חדשה בדייטונה גריי פנינה מדהימה עם עור פחם/פנים תפור קרשנדו אדום. כל אפשרויות המפעל הטובות והנחשקות ביותר! מכונית זו טופלה ומתוחזקת בקפידה מאז החדשה. הוא היה מכוסה בציפוי קרמי. מחצלות רצפה מבד מפעל שימשו רק 50-60 מיילים עד OEM RS כל מחצלות מזג האוויר הותקנו. מכונית זו נרכשה עם תוכנית התחזוקה של אאודי קר וכל תחזוקת המפעל בוצעה בסוכנות אאודי המקומית. מכונית זו עדיין מכוסה תחת טיפול אאודי ואחריות מפעל הינע. המכונית הזו באמת במצב חדש. כל התחזוקה בוצעה במסגרת תוכנית הטיפול של אאודי אשר תעבור עם המכונית בעת מכירתה. בטווח של 300 מייל מרגע הרכישה החדשה, הותקנו גלגלי Vossen עם צמיגי 285/30/ZR20 Michelin Pilot Sport 4S. הגלגלים והצמיגים בסגנון ""דגל"" של מפעל ""20"" יגיעו עם המכונית. על הצמיגים עדיין יש את כל הידיות והם אוחסנו בשקיות צמיגים במוסך מבוקר אקלים. ללא נזק, תאונות, עבודות צבע או סיפורים כלשהם. תגלו שמושבי העור, ההגה, האלקנטרה והשטיחים מראים כמעט אפס בלאי. המכונית עדיין מריחה כמו מכונית חדשה לגמרי עם 7,000 קילומטרים בלבד. הוא מעולם לא ישב בחוץ במשך הלילה ומעולם לא היה בגשם או במזג אוויר גרוע אחר. למכונית זו יש את כל האפשרויות הנחשקות ביותר כולל פחמן מלא מבפנים ומבחוץ. חבילה דינמית, אופטיקה שחורה, עור נאפה משובח ומערכת סאונד B&O. הוא פועל ונוהג ללא רבב ולבעלים החדש לא יהיו אכזבות כלשהן. אנא שלחו לי וואטסאפ בטלפון 55-330-2112.",אפור,7000,
אאודי,2019, RS5,4,אוטומטית,4500,גז,פרטית,פרטית,אשדוד - אשקלון,אשדוד,65000.0,4,2023-10-02,2023-10-02,"אאודי RS5 ספורטבק 2019 כמעט חדשה בדייטונה גריי פנינה מדהימה עם עור פחם/פנים תפור קרשנדו אדום. כל אפשרויות המפעל הטובות והנחשקות ביותר! מכונית זו טופלה ומתוחזקת בקפידה מאז החדשה. הוא היה מכוסה בציפוי קרמי. מחצלות רצפה מבד מפעל שימשו רק 50-60 מיילים עד OEM RS כל מחצלות מזג האוויר הותקנו. מכונית זו נרכשה עם תוכנית התחזוקה של אאודי קר וכל תחזוקת המפעל בוצעה בסוכנות אאודי המקומית. מכונית זו עדיין מכוסה תחת טיפול אאודי ואחריות מפעל הינע. המכונית הזו באמת במצב חדש. כל התחזוקה בוצעה במסגרת תוכנית הטיפול של אאודי אשר תעבור עם המכונית בעת מכירתה. בטווח של 300 מייל מרגע הרכישה החדשה, הותקנו גלגלי Vossen עם צמיגי 285/30/ZR20 Michelin Pilot Sport 4S. הגלגלים והצמיגים בסגנון ""דגל"" של מפעל ""20"" יגיעו עם המכונית. על הצמיגים עדיין יש את כל הידיות והם אוחסנו בשקיות צמיגים במוסך מבוקר אקלים. ללא נזק, תאונות, עבודות צבע או סיפורים כלשהם. תגלו שמושבי העור, ההגה, האלקנטרה והשטיחים מראים כמעט אפס בלאי. המכונית עדיין מריחה כמו מכונית חדשה לגמרי עם 7,000 קילומטרים בלבד. הוא מעולם לא ישב בחוץ במשך הלילה ומעולם לא היה בגשם או במזג אוויר גרוע אחר. למכונית זו יש את כל האפשרויות הנחשקות ביותר כולל פחמן מלא מבפנים ומבחוץ. חבילה דינמית, אופטיקה שחורה, עור נאפה משובח ומערכת סאונד B&O. הוא פועל ונוהג ללא רבב ולבעלים החדש לא יהיו אכזבות כלשהן. אנא שלחו לי וואטסאפ למספר 55-330-2112.",אפור,7000,
אאודי,2019, RS5,4,אוטומטית,4500,גז,פרטית,פרטית,ירושלים והסביבה,ירושלים,65000.0,4,2023-10-02,2023-10-02,"אאודי RS5 ספורטבק 2019 כמעט חדשה בדייטונה גריי פנינה מדהימה עם עור פחם/פנים תפור קרשנדו אדום. כל אפשרויות המפעל הטובות והנחשקות ביותר! מכונית זו טופלה ומתוחזקת בקפידה מאז החדשה. הוא היה מכוסה בציפוי קרמי. מחצלות רצפה מבד מפעל שימשו רק 50-60 מיילים עד OEM RS כל מחצלות מזג האוויר הותקנו. מכונית זו נרכשה עם תוכנית התחזוקה של אאודי קר וכל תחזוקת המפעל בוצעה בסוכנות אאודי המקומית. מכונית זו עדיין מכוסה תחת טיפול אאודי ואחריות מפעל הינע. המכונית הזו באמת במצב חדש. כל התחזוקה בוצעה במסגרת תוכנית הטיפול של אאודי אשר תעבור עם המכונית בעת מכירתה. בטווח של 300 מייל מרגע הרכישה החדשה, הותקנו גלגלי Vossen עם צמיגי 285/30/ZR20 Michelin Pilot Sport 4S. הגלגלים והצמיגים בסגנון ""דגל"" של מפעל ""20"" יגיעו עם המכונית. על הצמיגים עדיין יש את כל הידיות והם אוחסנו בשקיות צמיגים במוסך מבוקר אקלים. ללא נזק, תאונות, עבודות צבע או סיפורים כלשהם. תגלו שמושבי העור, ההגה, האלקנטרה והשטיחים מראים כמעט אפס בלאי. המכונית עדיין מריחה כמו מכונית חדשה לגמרי עם 7,000 קילומטרים בלבד. הוא מעולם לא ישב בחוץ במשך הלילה ומעולם לא היה בגשם או במזג אוויר גרוע אחר. למכונית זו יש את כל האפשרויות הנחשקות ביותר כולל פחמן מלא מבפנים ומבחוץ. חבילה דינמית, אופטיקה שחורה, עור נאפה משובח ומערכת סאונד B&O. הוא פועל ונוהג ללא רבב ולבעלים החדש לא יהיו אכזבות כלשהן. אנא שלחו לי וואטסאפ בטלפון 55-330-2112.",אפור,7000,
